hhnum,k15,k14,k13,k12,k11,k10,k9,k8,k7,k6,k5,k4,k3,k2,k1
102121,15,12,12,11,11,7,7,7,7,6,5,4,2,2,1
102123,11,11,11,11,11,7,7,7,7,6,5,4,2,2,1
102132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102142,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
102144,11,11,11,11,11,7,7,7,7,6,5,4,2,2,1
102149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102161,10,10,10,10,10,10,10,7,7,6,5,4,2,2,1
102163,,,,,,,,,,,,,,,
102173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102193,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102240,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
102248,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
102249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102269,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102283,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
102293,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
102295,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
102299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102336,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102341,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
102345,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
102360,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
102383,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
102390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102398,,,,,,,,,,,,,,,
102411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102431,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
102434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102442,,,,,,,,,,,,,,,
102457,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102465,8,8,8,8,8,8,8,8,7,6,5,4,2,2,1
102478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102482,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
102488,,,,,,,,,,,,,,,
102500,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
102503,,,,,,,,,,,,,,,
102508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102530,,,,,,,,,,,,,,,
102531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102536,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102539,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
102580,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
102583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102584,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
102585,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
102589,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102600,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
102606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102607,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102650,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
102665,,,,,,,,,,,,,,,
102681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102693,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
102703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102726,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
102734,12,12,12,11,11,7,7,7,7,6,5,4,2,2,1
102741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102747,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
