hhnum,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15
100664,0.8266331658291458,0.8266331658291458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100666,0.8253275109170304,0.8253275109170304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100681,,,,,,,,,,,,,,,
100686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100689,0.8344923504867872,0.9490299801129063,0.9624478442280946,0.9526437439504774,0.8732986144656278,0.9799300029640439,0.9624478442280946,0.9624478442280946,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100690,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100692,1.0,0.8623919308357351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100693,0.5685975609756098,0.6082317073170731,0.5685975609756098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100726,0.9202127659574468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100742,0.8578088578088577,0.652097902097902,0.9347319347319347,1.0,1.0,0.8578088578088577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100753,0.42989214175654855,0.42989214175654855,0.6887519260400619,0.8597842835130971,1.0,0.918335901386749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100768,0.4986807387862796,0.9598187483271992,0.9426683525488349,0.9426683525488349,1.0,0.9973614775725592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100781,0.8074735611559689,0.847674197319414,0.8852404643449421,1.0,1.0,1.0,1.0,1.0,1.0,0.8852404643449421,0.8852404643449421,1.0,1.0,1.0,1.0
100783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100792,0.7843137254901961,0.7843137254901961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100796,0.4874371859296482,0.6557788944723617,0.8743718592964823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100799,0.671280276816609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100810,0.8678756476683938,0.6761658031088084,0.950777202072539,1.0,1.0,0.8678756476683938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100843,0.02222416954270923,0.16001402070750645,0.27543859649122804,0.10134221311475408,1.0,1.0,1.0,1.0,1.0,0.9775812482024732,0.9775812482024732,1.0,1.0,1.0,1.0
100845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100875,0.2606060606060606,0.2818181818181818,0.6020202020202021,0.5212121212121212,0.5212121212121212,0.5212121212121212,0.42272727272727273,0.42272727272727273,0.6020202020202021,1.0,1.0,1.0,1.0,1.0,1.0
100885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100888,0.9498327759197325,0.919732441471572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100901,0.899755501222494,0.899755501222494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100905,0.9262086513994909,0.9083969465648853,0.9618320610687021,0.9618320610687021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100917,,,,,,,,,,,,,,,
100929,0.9563953488372093,0.9563953488372093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100985,,,,,,,,,,,,,,,
100992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101018,0.7777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101046,0.29124579124579125,0.5824915824915825,0.9797979797979798,0.6262626262626263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101056,0.30755785920925743,0.9226735776277722,1.0,0.7037815126050418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101061,,,,,,,,,,,,,,,
101062,0.5815899581589956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101134,0.34008379888268153,0.34008379888268153,1.0,0.8072625698324022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101141,,,,,,,,,,,,,,,
101148,,,,,,,,,,,,,,,
101151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101154,0.9215154375060832,0.9241336483702896,0.9182527826443637,1.0,0.9840361080819096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101175,1.0,0.9219512195121949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101180,0.9085365853658537,0.9085365853658537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101195,,,,,,,,,,,,,,,
101196,0.9717223650385601,0.5128534704370179,1.0,1.0,1.0,1.0,0.9717223650385601,0.9717223650385601,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101210,0.8465105049934049,0.8636363636363636,0.8704232831423334,1.0,1.0,1.0,0.9405694879832811,0.9405694879832811,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101218,0.8374999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101236,0.5591715976331361,0.9911242603550295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101253,0.8964941569282137,0.924457429048414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101267,0.8277511961722489,1.0,0.8277511961722489,0.8277511961722489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101268,0.9761306532663315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101291,0.35094339622641507,0.35094339622641507,0.5622641509433963,0.7018867924528301,0.7445462713387242,0.7496855345911951,0.7445462713387242,0.7445462713387242,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101292,,,,,,,,,,,,,,,
101323,0.4651967142239516,0.6977950713359273,1.0,0.9649805447470817,1.0,1.0,0.7738867271941202,0.7738867271941202,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101339,0.9301075268817204,0.6941639674775251,1.0,0.963491824270879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101374,,,,,,,,,,,,,,,
101386,0.7010050251256282,0.7010050251256282,1.0,1.0,1.0,1.0,0.9723618090452263,0.9723618090452263,1.0,1.0,1.0,1.0,1.0,1.0,1.0
