hhnum,k9,k8,k7,k6,k5,k4,k3,k2,k1
105000,,,,,,,,,
105006,,,,,,,,,
105016,,,,,,,,,
105023,,,,,,,,,
105034,,,,,,,,,
105058,7,7,6,6,3,3,3,2,1
105080,,,,,,,,,
105084,,,,,,,,,
105089,,,,,,,,,
105100,,,,,,,,,
105101,,,,,,,,,
105113,,,,,,,,,
105142,,,,,,,,,
105163,,,,,,,,,
105167,,,,,,,,,
105168,,,,,,,,,
105176,,,,,,,,,
105181,,,,,,,,,
105201,,,,,,,,,
105206,1,1,1,1,1,1,1,1,1
105220,,,,,,,,,
105222,,,,,,,,,
105241,,,,,,,,,
105255,,,,,,,,,
105256,,,,,,,,,
105272,,,,,,,,,
105284,,,,,,,,,
105285,,,,,,,,,
105288,,,,,,,,,
105292,,,,,,,,,
105308,,,,,,,,,
105309,1,1,1,1,1,1,1,1,1
105311,,,,,,,,,
105331,,,,,,,,,
105335,,,,,,,,,
105361,,,,,,,,,
105364,,,,,,,,,
105377,,,,,,,,,
105378,,,,,,,,,
105385,,,,,,,,,
105392,,,,,,,,,
105405,,,,,,,,,
105407,,,,,,,,,
105410,,,,,,,,,
105423,,,,,,,,,
105424,,,,,,,,,
105426,,,,,,,,,
105427,6,6,6,6,3,3,3,2,1
105460,,,,,,,,,
105461,4,4,4,4,4,4,1,1,1
105468,,,,,,,,,
105477,,,,,,,,,
105479,2,2,2,2,2,2,2,2,1
105491,,,,,,,,,
105500,,,,,,,,,
105522,,,,,,,,,
105554,,,,,,,,,
105564,,,,,,,,,
105576,,,,,,,,,
105600,,,,,,,,,
105610,,,,,,,,,
105628,,,,,,,,,
105644,,,,,,,,,
105649,,,,,,,,,
105652,2,2,2,2,2,2,2,2,1
105657,,,,,,,,,
105680,,,,,,,,,
105686,,,,,,,,,
105689,,,,,,,,,
105716,,,,,,,,,
105731,,,,,,,,,
105732,,,,,,,,,
105733,,,,,,,,,
105747,,,,,,,,,
105753,,,,,,,,,
105756,,,,,,,,,
105761,,,,,,,,,
105763,,,,,,,,,
105764,,,,,,,,,
105765,1,1,1,1,1,1,1,1,1
105792,,,,,,,,,
105796,,,,,,,,,
105799,,,,,,,,,
105812,,,,,,,,,
105832,,,,,,,,,
105840,,,,,,,,,
105846,,,,,,,,,
105856,,,,,,,,,
105864,,,,,,,,,
105896,,,,,,,,,
105908,7,7,6,6,3,3,3,2,1
105933,,,,,,,,,
105940,,,,,,,,,
105946,,,,,,,,,
105947,,,,,,,,,
105950,,,,,,,,,
105954,,,,,,,,,
105956,,,,,,,,,
