hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,num_milk_types
107412,1006.0,3904.0,3.48,0.08913934426229508,2
107416,1002.0,3904.0,2.62,0.06711065573770492,2
107416,1008.0,3916.8,2.48,0.06331699346405228,2
107423,1004.0,3904.0,3.45,0.08837090163934427,2
107423,1008.0,3916.8,3.45,0.08808210784313726,2
107546,1002.0,0.0,9.18,,2
107546,1004.0,3904.0,3.4,0.08709016393442623,2
107632,1002.0,3904.0,3.65,0.0934938524590164,2
107632,1008.0,1958.4,2.22,0.11335784313725492,2
107698,1004.0,3904.0,8.98,0.23002049180327871,2
107698,1008.0,3916.8,3.98,0.10161356209150325,2
107710,1002.0,15616.0,15.549999999999999,0.09957735655737705,2
107710,1004.0,3904.0,4.09,0.10476434426229508,2
107749,1002.0,3904.0,2.99,0.07658811475409837,2
107749,1004.0,11712.0,8.97,0.07658811475409837,2
107810,1002.0,3904.0,2.98,0.07633196721311475,2
107810,1004.0,0.0,2.74,,2
107836,1002.0,1952.0,6.08,0.3114754098360656,2
107836,1004.0,3904.0,0.0,,2
107866,1002.0,1958.4,2.59,0.13225081699346403,2
107866,1008.0,50918.4,0.0,,2
107939,1002.0,0.0,2.98,,2
107939,1004.0,0.0,2.98,,2
107957,1002.0,85888.0,-990.04,,2
107957,1004.0,3904.0,2.89,0.07402663934426229,2
108009,1002.0,3904.0,3.89,0.09964139344262296,2
108009,1008.0,3916.8,3.74,0.0954861111111111,2
108150,1002.0,0.0,3.55,,2
108150,1004.0,3904.0,3.29,0.08427254098360656,2
108176,1002.0,3904.0,3.99,0.10220286885245901,2
108176,1004.0,0.0,3.49,,2
108195,1002.0,3904.0,3.63,0.09298155737704918,2
108195,1006.0,15616.0,15.96,0.10220286885245901,2
108228,1002.0,7808.0,2.39,0.030609631147540988,2
108228,1004.0,3904.0,3.19,0.08171106557377049,2
108331,1004.0,0.0,3.98,,2
108331,1006.0,3904.0,0.0,,2
108377,1002.0,3904.0,8.56,0.2192622950819672,2
108377,1004.0,20496.0,13.02,0.06352459016393443,2
108395,1002.0,3904.0,0.0,,2
108395,1004.0,0.0,2.49,,2
108417,1002.0,7808.0,14.56,0.18647540983606556,2
108417,1008.0,1958.4,2.32,0.1184640522875817,2
108438,1006.0,3904.0,3.53,0.09042008196721311,2
108438,1008.0,1958.4,0.88,0.04493464052287582,2
108473,1002.0,1020.6,2.97,0.291005291005291,2
108473,1004.0,0.0,5.98,,2
108503,1002.0,1958.4,3.45,0.17616421568627452,2
108503,1004.0,7808.0,7.0,0.08965163934426229,2
108504,1002.0,3904.0,3.79,0.09707991803278689,2
108504,1004.0,0.0,3.19,,2
108660,1002.0,19520.0,14.370000000000001,0.07361680327868854,2
108660,1004.0,0.0,3.09,,2
108708,1006.0,3904.0,3.48,0.08913934426229508,2
108708,1008.0,3916.8,3.55,0.09063521241830065,2
108873,1006.0,3904.0,0.0,,2
108873,1008.0,3916.8,0.0,,2
108925,1002.0,979.2,1.69,0.17258986928104575,2
108925,1004.0,0.0,1.79,,2
108942,1004.0,3904.0,3.85,0.09861680327868853,2
108942,1008.0,1958.4,2.65,0.13531454248366012,2
109064,1002.0,976.0,1.15,0.11782786885245901,2
109064,1006.0,7808.0,4.38,0.05609631147540983,2
109258,1002.0,3904.0,1.79,0.04585040983606557,2
109258,1004.0,4880.0,4.59,0.09405737704918032,2
109311,1006.0,976.0,1.99,0.20389344262295084,2
109311,1008.0,11750.400000000001,10.47,0.08910334967320262,2
109368,1004.0,7808.0,5.98,0.07658811475409837,2
109368,1006.0,9760.0,14.950000000000001,0.15317622950819673,2
109498,1004.0,7808.0,5.18,0.06634221311475409,2
109498,1008.0,9792.0,8.05,0.08220996732026145,2
109505,1002.0,680.4,4.62,0.6790123456790124,2
109505,1004.0,7808.0,8.89,0.11385758196721311,2
109551,1004.0,0.0,2.39,,2
109551,1008.0,0.0,0.65,,2
109593,1002.0,340.2,1.25,0.36743092298647856,3
109593,1004.0,3904.0,3.7,0.09477459016393443,3
109593,1006.0,7808.0,5.0,0.06403688524590163,3
109637,1002.0,2928.0,7.02,0.23975409836065575,2
109637,1004.0,4880.0,13.399999999999999,0.2745901639344262,2
109671,1004.0,1952.0,1.99,0.10194672131147542,2
109671,1006.0,3904.0,4.98,0.1275614754098361,2
109700,1004.0,732.0,1.19,0.16256830601092895,2
109700,1006.0,976.0,3.29,0.33709016393442626,2
109714,1002.0,3904.0,5.99,0.15343237704918034,2
109714,1004.0,3904.0,5.99,0.15343237704918034,2
109730,1004.0,0.0,3.15,,2
109730,1006.0,0.0,3.19,,2
109836,1002.0,1952.0,4.99,0.25563524590163933,2
109836,1004.0,5856.0,14.97,0.25563524590163933,2
